date,Open,High,Low,Close,Volume,TimeDelta,DT
2018-09-21 14:45:00,292.38,292.4,292.35,292.37,97682.0,45000.0,2018-09-21 14:45:00
2018-09-21 14:46:00,292.36,292.41,292.36,292.4,143260.0,45000.0,2018-09-21 14:46:00
2018-09-21 14:47:00,292.41,292.43,292.36,292.36,239380.0,45000.0,2018-09-21 14:47:00
2018-09-21 14:48:00,292.36,292.36,292.325,292.325,35814.0,45000.0,2018-09-21 14:48:00
2018-09-21 14:49:00,292.33,292.36,292.32,292.33,52845.0,45000.0,2018-09-21 14:49:00
2018-09-21 14:50:00,292.31,292.32,292.29,292.31,89959.0,45000.0,2018-09-21 14:50:00
2018-09-21 14:51:00,292.32,292.34,292.315,292.325,94648.0,45000.0,2018-09-21 14:51:00
2018-09-21 14:52:00,292.33,292.33,292.26,292.29,156420.0,45000.0,2018-09-21 14:52:00
2018-09-21 14:53:00,292.285,292.29,292.2,292.24,236597.0,45000.0,2018-09-21 14:53:00
2018-09-21 14:54:00,292.22,292.23,292.1711,292.2,201945.0,45000.0,2018-09-21 14:54:00
2018-09-21 14:55:00,292.19,292.19,292.15,292.19,100593.0,45000.0,2018-09-21 14:55:00
2018-09-21 14:56:00,292.21,292.26,292.21,292.25,135269.0,45000.0,2018-09-21 14:56:00
